Marca;Nombre;Precio_Actual;Precio_Antiguo;Descuento;Valoracion
HP;"
			Portátil - HP 240 G7, 14"" HD, Intel® Core™ i5-8265U, 8GB RAM, 1TB HDD, Windows 10, Negro";549,-;"


		579,-";"
		Te ahorras: € 30,00";['value-4']
ACER;"
			Portátil - Acer A515-52-38NB, 15.6"", Intel® Core™ i3-8145U, 8GB RAM, 128SSD, UHD Graphics 620, W10";499,-;"


		544,-";"
		Te ahorras: € 45,00";No Valorado
LENOVO;"
			Portátil - Lenovo Ideapad S540-14IWL, 14"" FHD, Intel® Core™ i7-8565U, 12 GB, 512GB SSD, FreeDOS, Gris";749,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer A514-52, 14 "" Full-HD, Intel® Core™ i7-10510U, 8 GB, 512 GB SSD, Windows 10, Plata";799,-;"


		879,-";"
		Te ahorras: € 80,00";No Valorado
HP;"
			Portátil - HP 240 G7, 14"" HD, Intel® Celeron® N4000, 4 GB RAM, 128 GB SSD, Windows 10, Negro";299,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP Notebook - 15-da0255ns, 15.6"" HD, Intel® Celeron® N4000, 8 GB RAM, 256 GB SSD, Windows 10, Plata";365,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Strix SCAR III G531GW-AZ271T, 15.6"" FHD, i7-9750H, 16GB, 1TB SSD, RTX2070, W10";1699,-;"


		1796,-";"
		Te ahorras: € 97,00";No Valorado
LENOVO;"
			Portátil - LENOVO, Yoga 530-14IKB, 14"", Intel® Core™ i3-7020U, 8 GB, 256 GB, W10";606,-;"


		699,-";"
		Te ahorras: € 93,00";No Valorado
HP;"
			Portátil - HP 15-DB1016NS, 15.6"" HD, AMD Ryzen™ 7 3700U, 8 GB RAM, 256 GB, W10, Rojo";649,-;"


		706,-";"
		Te ahorras: € 57,00";No Valorado
LG ELECTRONICS;"
			Portátil - LG Gram 15Z990-V 72B, 15.6"", Intel® Core™ i7-8565U, 8 GB, 256 SSD, Intel® UHD Graphics 620, W10";949,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Portátil  - Lenovo ideapad S540-14IML, 14 "", Intel® Core™ i7-10510U, 8 GB, 512 GB, UHD Graphics, W10, Inox";899,-;"


		989,-";"
		Te ahorras: € 90,00";No Valorado
MSI;"
			Portátil gaming - MSI GL65 9SEK-210XES, 15.6"" FHD, Intel® Core™ i7-9750H, 16GB RAM, 512GB SSD, RTX2060, FDOS";1480,-;Sin descuento;Sin descuento;No Valorado
PRIMUX;"
			Convertible 2 en 1 - Primux ioxbook Tour 1302F, 13.3"", Intel® Celeron® N3350, 4GB, 64GB SSD, W10";329,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil - ASUS ZenBook 14 UX434FAC-A5058T, 14"" FHD, i5-10210U, 8GB, 512 GB SSD, UHD Graphics , W10";999,-;"


		1102,-";"
		Te ahorras: € 103,00";['value-1']
LENOVO;"
			Portátil - Lenovo Ideapad 330-14IKB, 14"" FHD, Intel® Core™ i5-8250U, 8GB RAM, 256GB SSD, W10, Gris Platino";649,-;Sin descuento;Sin descuento;['value-4']
HP;"
			Portátil gaming - HP OMEN 15-dc1037ns, 15.6"" FHD, Intel® Core™ i7-9750H, 16 GB RAM, 1 TB SSD, GTX 1650, W10";1299,-;"


		1405,-";"
		Te ahorras: € 106,00";No Valorado
ASUS;"
			Portátil gaming - ASUS G531GT-BQ012, 15.6"" FHD, Intel® Core™ i7-9750H, 16GB, 512GB SSD, GTX1650, FreeDOS";999,-;"


		1199,-";"
		Te ahorras: € 200,00";No Valorado
HP;"
			Portátil - HP Envy 13-AQ1003NS, 13.3"" Full HD, Intel® Core™ i7-10510U, 16GB RAM, 512 GB SSD, MX250, W10, Plata";1199,-;"


		1318,-";"
		Te ahorras: € 119,00";No Valorado
HP;"
			Portátil - HP ENVY 13-aq1006ns, 13.3"" FHD, Intel® Core™ i5-10210U, 8GB RAM, 1TB SSD, W10, Plata";999,-;"


		1103,-";"
		Te ahorras: € 104,00";No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro 6, 12.3"", Intel® Core™ i7-8650U, 8GB RAM, 256GB SSD, W10";1072,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Portátil - Lenovo Yoga C740-14IML, 14"" FHD, Intel® Core™ i7-10510U, 8GB, 512 GB SSD, W10, Gris oscuro";1199,-;Sin descuento;Sin descuento;['value-5']
THOMSON;"
			Portátil - Thomson SPNEOX12C-4PK64, 12.5"", Intel® Celeron® N3350, 4GB RAM, 64GB, W10";279,-;"


		299,-";"
		Te ahorras: € 20,00";['value-1']
ACER;"
			Portátil - Acer Aspire 3 A315-53-82VX, 15.6"" HD, Intel® Core™ i7-8550U, 8 GB RAM, 256 GB, W10";699,-;"


		758,-";"
		Te ahorras: € 59,00";No Valorado
MICROSOFT;"
			Surface - Microsoft Surface PRO 7, 12.3"", Intel® Core™ i5-1035G7, RAM 8 GB, SSD 256 GB, Negro";1334,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer A514-52-70AE, 14"", Intel® Core™ i7-8565U, 8 GB RAM, 512 GB SSD, W10";799,-;"


		881,-";"
		Te ahorras: € 82,00";['value-5']
APPLE;"
			Apple MacBook Pro, Retina 16"", Intel® Core™ i7-9750H, 16GB, 512GB SSD, AMD Radeon Pro 5300M, MacOS, Gris";2574,-;Sin descuento;Sin descuento;No Valorado
HUAWEI;"
			Portátil - Huawei MateBook 13, 13"" UHD, Intel® Core™ i5-8265U, 8 GB, 512 SSD, , MX250, W10, Plata";949,-;Sin descuento;Sin descuento;No Valorado
APPLE;"
			Apple MacBook Pro, Retina 16"", Intel® Core™ i7-9750H, 16GB, 512GB SSD, AMD Radeon Pro 5300M, MacOS, Plata";2629,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil gaming - ACER, NITRO5, 15.6"", Intel® Core™ i5-9300H, 8 GB, 512 GB SSD, GTX1660TI 6, FreeDOS";999,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GL65 9SDK-038ES, 15.6"", Intel® Core™ i7-9750H, 16 GB RAM, 1 TB+512 SSD, GTX1660TI, W10";1499,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer A514-52K-39AB, 14"" HD, Intel® Core™ i3-7020U, 8GB RAM, 256GB SSD, W10";469,-;"


		499,-";"
		Te ahorras: € 30,00";No Valorado
ASUS;"
			Portátil gaming- ASUS ROG Zephyrus S GX502GW-AZ064T, 15.6"", FHD, i7-9750H, 16GB, 1TB SSD, RTX™ 2070, W10";1899,-;"


		2005,-";"
		Te ahorras: € 106,00";No Valorado
LENOVO;"
			Portátil - Lenovo Yoga C940-14IIl, 14"" HDR UHD Táctil, Intel® Core™ i7-1065G7, 16GB, 1TB SSD, W10, Spen, Gris";1999,-;Sin descuento;Sin descuento;No Valorado
TOSHIBA;"
			Portátil - Toshiba SATELLITE PRO L50-G44, 15.6"" FHD, Intel® Core™ i7-10710U, 16GB, 1TB + 512 SSD, W10, Negro";1249,-;"


		1600,-";"
		Te ahorras: € 351,00";No Valorado
APPLE;"
			APPLE MacBook Pro MUHR2Y/A, 13.3"" Retina, Intel® Core™ i5-8257U, 8GB, 256GB SSD, Intel® Iris® Plus, Plata";1747,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer A514-52, 14 "" Full-HD, Intel® Core™ i5-10210U, 8 GB, 1024 GB SSD, Windows 10 Home, Plata";699,-;"


		772,-";"
		Te ahorras: € 73,00";No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro 7, 12.3"", Intel® Core™ i5-1035G4, 8 GB,  256 GB, Plata";1342,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GF65 Thin 9SD-038XES, FHD 15.6"", Intel® Core™ i7-9750H, 16GB, 1TB SSD, GTX 1660Ti, FDOS";1199,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Convertible 2 en 1 - Lenovo C340-14IML 14"" Full HD TN,  Intel® Core™ i5-10210U, 8GB, 512GB SSD, W10, Plata";849,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil - Lenovo, ideapad 330-17ICH, 17.3"", Intel® Core™ i7-8750H, 1TB, 8GB, GTX 1050 2GB, FreeDos";1199,-;Sin descuento;Sin descuento;['value-4-5']
MSI;"
			Portátil - MSI Prestige 14, 14'', Intel® Core™ i7-10710U, 16 GB, 1 TB SSD, GeForce GTX 1650, W10";1472,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS ROG Zephyrus S GX701GWR-EV002T, 17.3"" FHD, 144 Hz, i7-9750H,16GB, 1TB SSD, RTX2060, W10";1699,-;Sin descuento;Sin descuento;No Valorado
